nk,sk,ratio
부인은 라 쥬마뜨남작의 왕림이 알려지기만 하면 대뜸 무슨 일에나 성수를 냈던것이다.,부인은 라주마트 남작이 살롱에 나타나기만 하면 모든 일에 흥미를 느끼는 것 같았다.,0.5434782608695652
맑고 건강해서 배의 밑창에 더러운 물이 괴여도 악취 풍기는 물웅뎅이로 되지 않았소.,맑고 건전해서 어떤 거센 땟물도 그것을 시궁창으로 만들지 못했어.,0.6304347826086957
그러기에 나는 나자신에게도 똑똑히 말할수 없다.,그때는 나 자신에게 그 이유를 명확하게 설명할 수 없었다.,0.59375
다름이 아니라 저는 베리에르의 복권사무소 소장의 직위를 주시도록 배려해주실것을 후작각하께 청원하는바입니다.,소인은 삼가 후작님께 베리에르 복권 판매 소장 직을 청원하는 바입니다.,0.6101694915254238
그후에 있은 일로 미루어볼 때 로이드씨는 아마 리드부인에게 나를 학교에 보내라고 대담하게 권한것 같았다.,"나중에 벌어진 일들을 통해 추측해 보건대, 이어진 리드부인과의 면담에서 약제사가 나서서 나를 학교에 보내도록 추천한 것 같았다.",0.6197183098591549
나는 달려나가 주머니속에 있던 너덧실링의 돈을 몽땅 그들에게 주었다.,"나는 달려 내려가서 지갑 속에 있던 3, 4실링 정도 되는 돈을 전부 그들에게 주었다.",0.3958333333333333
억눌린 자를 건져 주시며 거만한자를 부끄럽게 만드십니다.,겸손한 사람을 구하시고 교만한 사람을 낮추십니다.,0.6451612903225806
세상도 가고 세상의 정욕도 다 지나가지만 하느님의 뜻대로 사는 사람은 영원히 살것입니다.,이 세상은 지나갈 것이며 사람들이 이 세상에서 그토록 갖고 싶어하는 것들도 다 사라지게 됩니다. 그러나 하나님의 뜻대로 사는 사람은 영원히 살 것입니다.,0.5529411764705883
헤롯은 부하들을 풀어 베드로를찾다가 끝내 못찾게 되자 경비병들을 문초한 다음 그들을 대신처형시켰다. 이 일이 있은후에 베드로는 유대를 떠나 가이사랴에 가서 얼마동안 머물러 있었다.,헤롯 아그립바는 철저하게 수색하여 베드로를 찾으라고 명했으나 그를 찾을 수 없었습니다. 그래서 그는 경비병들을 심문한 뒤에 대신 그들을 처형하라고 명령하였습니다. 그후에 헤롯은 유대를 떠나 가이사랴로 가서 얼마 동안을 지냈습니다.,0.6015625
수산성에서 살해된 사망자의 수는 그날로 왕에게 보고 되였다.,그 날 수산 성에서 죽은 사람의 수가 왕에게 보고되었습니다.,0.5757575757575758
나는 문에 등을 대고 길을 막았다.,그러나 나는 문에 등을 기대고 막아섰다.,0.45454545454545453
"자, 어서 시작하시오.","자, 일을 시작하게.",0.3333333333333333
"그건 그렇고 일이나 하세, 자, 일에 착수하세.",그건 그렇고 일을 하세.,0.5384615384615384
너희가 만일 되받을 가망이 있는 사람에게만 꾸어 준다면 칭찬받을것이 무엇이겠는가. 죄인들도 고스란히 되받을것을 알면 서로 꾸어준다.,너희가 만일 되돌려받을 수 있겠다고 생각하는 사람에게 꾸어 준다면 칭찬받을 것이 무엇이냐? 죄인들도 그대로 돌려받을 생각으로 죄인들에게 꾸어 준다.,0.4146341463414634
누구든지 살갗이 곪았다가 나았는데,어떤 사람의 살갗에 종기가 생겼다가 나았는데,0.5416666666666666
"동네어른네들, 나 떠나면 홀로 남는 우리 아버지 의지가지 믿을 곳 없으니 이젠 오직 동네어른들만 믿사옵니다.","동네 어르신들, 저 떠나면 홀로 남는 우리 아버지 의지가지 기댈 곳 없으니 오직 어르신들만 믿사옵니다.",0.21666666666666667
1년 안으로 이곳을 뜨려고 하오.,아마 1년 이내에 이곳을 떠날 것입니다.,0.5909090909090909
이때 아델이 또 이쪽으로 달려왔다.,이때 다시 아델이 뛰어왔다.,0.5263157894736842
헬렌의 말을 듣고있으려니 나는 서글픈 느낌이 들었다. 그러나 그것이 어디서 오는것인지는 알수 없었다.,그녀가 말할 때 슬프다는 인상을 받았지만 그 슬픔이 어디서 온 것인지 알 수가 없었다.,0.5714285714285714
나는 그를 위로해줄수 있었다.,내 말에 그가 위안을 얻었다.,0.625
대수롭지 않으나마 남을 도와준것은 기뻤다.,무엇이든 남을 도왔다는 것이 기뻤다.,0.6086956521739131
"만약 그렇다면, 그리고 그 부인이 조금이라도 붙임성이 있는분이라면 나는 정녕 그 부인과 의좋게 지낼수 있을거야.",만약 그렇기도 하고 또 거기다 부인이 조금이라도 상냥하다면 분명히 잘 지낼 수 있을 텐데.,0.6129032258064516
모레가 초하루니 모레부터 계산해서 매달 50프랑씩 드리기로 하겠소.,"모레부터, 마침 모레는 초하루니까 매달 50프랑씩 주기로 하겠소.",0.40540540540540543
그의 목소리는 거칠었다. 그리고 그의 얼굴표정은 마치 참을수없는 구속을 박차고 란폭한 행동을 하려는 사람같았다.,"그의 목소리는 쉬어 있었고, 그의 표정은 이제는 참을 수 없는 규제를 끊어 버리고 난폭한 짓을 저지르려는 사나이의 그것이었다.",0.5285714285714286
물론 당신은 자기가 제인 에어라는 신분을 밝혀야 하오.,물론 당신은 자기 신원을 밝히지 않으면 안됩니다.,0.5666666666666667
과연 그렇다. 예루살렘에 사는 시온백성들아 너희가 다시는 울지 않아도 되리라. 너희가 소리내여 부르짖으면 주께서는 너희를 가엷게 보시여 듣자마자 곧 이루어 주시리라.,시온 산에 사는 백성아 너희는 다시 울지 않게 될 것이다. 여호와께서 너희의 부르짖는 소리를 들으시고 너희를 위로하시며 도와 주실 것이다.,0.6413043478260869
이 녀자방문객의 시선은 젊은 목사의 심장을 찌르는것 같았다.,방문객의 시선이 날카롭게 젊은 목사의 심장을 꿰뚫는 것처럼 느껴졌다.,0.47368421052631576
이런 일들을 제쳐놓고라도 나는 매일같이 여러 교회들에 대한 걱정에 짓눌려서 고통을 당하고있습니다.,다른 것들은 접어 두더라도 나는 날마다 모든 교회들에 대한 염려로 마음이 짓눌렸습니다.,0.5370370370370371
하지만 숙향은 너무도 황홀하고 엄숙한 전각의 위풍에 눌러 구름다리를 건느자 그 전각앞에 우뚝 멈춰섰다.,숙향은 황홀하고 엄숙한 위풍에 눌려 구름다리를 건너 전각 앞에 우뚝 멈춰 섰다.,0.3333333333333333
누구든 나를 도와주세요.,누가 좀도와주세요.,0.38461538461538464
잠과 밤이 자기들의 왕국을 다시 찾은듯이 보였다.,잠과 밤은 다시 그 왕국을 되찾은 것 같았다.,0.4444444444444444
"짐승같은놈들, 바보새끼들!",짐승 같은 놈들! 병신 같은 놈들!,0.5263157894736842
알따미라는 쌀쌀하게 대꾸하였다.,알타미라 백작이 잘라 말했다.,0.6470588235294118
그리고나서 그는 알따미라의 실패한 음모의 가소롭고 맹랑한 전말을 이야기해주었다.,그리고 그는 그 가소롭고 어처구니없는 음모의 실패담을 이야기했다.,0.6363636363636364
어느분이 먼저 오시겠는지 물어보는뎁쇼.,어느 분이 맨 먼저오시려는지 알고 싶답니다.,0.5
당신과 갈라졌으니 이제 다시는 돌아갈수 없어요.,이제 전 갈기갈기 찢어졌어요. 그러니 되돌아갈 순 없어요.,0.625
"할머니, 저는 로체스터씨의 신수가 아니라 저의 신수를 봐달라고 왔어요.","그런데 할머니, 저는 로체스터 씨의 점을 치러 온 게 아니라 제 운수를 들으러 왔어요.",0.4375
첫째 천사가 나가서 자기 대접에 든것을 땅에 쏟았습니다. 그러자 짐승의 락인을 받은자들과 그 짐승의 우상에게 절을 한자들에게 끔찍하고 독한 종기가 생겼습니다.,첫째 천사가 대접을 땅에 쏟았습니다. 그러자 짐승의 표를 받고 그 우상에게 경배한 자들의 몸에 더럽고 몹시 아픈 종기가 생겼습니다.,0.4318181818181818
사람이 사는곳까지 가자면 지치고 떨리는 이 다리로 아직도 먼길을 걸어야 한다. 게다가 하루밤 잠자리를 얻으려면 랭정한 자비심을 빌어야 하고 내 이야기를 다 들어주고 나의 청을 받아주도록 하기 위해서는 마음에 없는 동정을 빌어야 한다. 하지만 그것은 대부분의 경우에 거절당할 처지에 있는 나에게 있어 얼마나 참기 어려운 질문인가!,내가 인간이 사는 마을에까지 이르자면 그 지치고 떨리는 다리로 아직도 창창한 길을 걸어야 할 텐데 하룻밤 잠자리를 얻자면 차디찬 인정에 매달려야 하고 내 사정 이야기를 들어주고 내 소망의 한 가지라도 해결하려면 마지못해 어쩔 수 없이 베푸는 동정을 구걸하고 확실한 거절은 각오해야 될 형편인데!,0.6284153005464481
나의 이러한 대담한 선언을 듣자 잽싸게 층계를 뛰여올라와서 회오리바람처럼 나를 어린이방에 몰고 가 침대언저리에 내동댕이쳤다. 그리고 하루종일 거기서 꼼짝달싹 말고 앉아있되 한마디라도 지껄여만 보라고 위협했다.,"그러나 전에 없이 대담한 이런 소리를 듣자 날렵하게 층계를 쫓아 올라와 회오리바람인 양 나를 육아실로 몰고 가서 나를 침대 끝으로 몰아넣더니 단호한 어조로 어디 일어서 볼 테면 보라, 하루 종일 주둥아릴 놀렸단 봐라, 하고 혼을 내는 것이었다.",0.6397058823529411
여러분이 여러가지 세금을 내는것도 이때문입니다. 통치자들은 그와 같은 직무들을 수행하도록 하느님의 임명을 받은 일군들입니다.,여러분이 세금을 바치는 것도 같은 이유에서입니다. 통치자들은 바로 이런 일에 종사하는 하나님의 일꾼들입니다.,0.5072463768115942
나는 부인이 잠옷자락을 스치면서 휙 지나가는 소리를 들었다.,나는 부인이 옷자락을 끌며 사라져가는 발소리를 들었다.,0.30303030303030304
그리고 나는 나가려고 하였다.,이렇게 말하고 나는 걸음을 떼었다.,0.631578947368421
그날밤은 유쾌하였다.,그날 저녁은 즐거웠다.,0.5833333333333334
베리에르시청에서 그 사람에게 5백프랑의 봉급을 더 지불해줘야 하는셈이 되였을따름이요.,베리에르 시는 그 사람 봉급에 5백 프랑을 더 얹어 줘야 한다.,0.5957446808510638
지금 방해로 되는것은 상류사회에서의 당신의 지위가 아닙니다.,나를 가로막는 건 당신의 사회적 지위가 아니에요.,0.6060606060606061
그는 내 손을 잡아일으켜세우더니 안방으로 데리고갔다.,그리고 여전히 내 손을 잡은 채 그녀가 나를 일으켜서 안쪽 방으로 데리고 갔다.,0.5227272727272727
그렇지만 될수 있는대로 쾌활하게 인사하였다.,그러나 나는 되도록 쾌활하게 말을 건넸다.,0.5833333333333334
나는 상상으로 그린 인물이라고 말하면서 얼른 그 그림을 다른 종이밑으로 감추었다.,나는 그저 상상으로 그려본 얼굴이라고 대답하곤 얼른 그림을 다른 종이 사이에 감춰버렸다.,0.40816326530612246
선생님의 말씀이 지당합니다.,선생님 말씀이 옳습니다.,0.26666666666666666
알따미라백작은 대꾸했다.,알타미라 백작이 말을 받았다.,0.5
"열정적이며 희망에 불타던 제인 에어, 거의나 신부가 될번했던 그 녀자는 또다시 쓸쓸하고 외로운 처녀가 되였다.","열정에 가득 차고 기대에 부풀었던 여자, 거의 신부가 될 뻔했던 제인 에어는 다시 춥고 고독한 처녀가 되었다.",0.5081967213114754
"그는 라 몰양의 우아하고 아름다운 몸매, 세련된 옷차림새, 하얀손, 고운 팔, 약동하는 몸짓, 이런 것들을 눈앞에 그려보고나서야 비로소 자기가 사랑에 빠졌음을 알아차리게 된다.","라 몰 양의 우아한 몸매, 빼어난 취향을 보여 주는 차림새, 하얀손, 날씬한 팔, 경쾌한 몸동작에 대해 넋을 잃고 몽상에 잠기고서야 그는 비로소 사랑에 빠질 수 있었다.",0.6224489795918368
힌두어는 그가 지금 공부하고있는 말인데 앞으로 나갈수록 먼저 배운것을 잊어버리기 쉽다.,그리고 그는 힌두스탄어는 지금 자기가 공부를 하고 있는 중인데 공부를 해나가면 처음 부분은 잊어버리기가 쉽다.,0.5245901639344263
"절대로 떠나지 않겠다고, 환상이 말하는건가?",절대 아니라고 환영이 말하는 것이오?,0.5833333333333334
이 집안에는 적들이 우글우글합니다.,이 집에는 적들이 우글우글해요.,0.21052631578947367
그것은 힘보다 얼마나 더 강하였던가!,힘보다 훨씬 더 강한 것!,0.55
어떤 직업에 종사하는 청년들이나 다 그렇지만 신학생들도 역시 상상력을 자극하는 이런 색다른 출세수단의 효과를 실제이상으로 지나치게 믿는것 같다.,어느 직업에 종사하든 젊은 사람들은 다 그렇듯이 신학생들은 이렇게 상궤를 벗어나 기발한 면이 있는 소소한 책략들의 효과를 부풀려 상상했다.,0.65
그는 항상 진정이 어려있었을뿐아니라 례모답고도 우정에 찬 솔직성으로 나를 대해주었으며 그래서 나의 마음은 그에게 끌렸다.,따스하면서도 예의 바르고 다정스러운 솔직한 태도로 나를 대해 주었고 그 때문에 나는 그에게 끌렸다.,0.6119402985074627
"제인, 이리 와서 이걸 좀 보오.","제인, 와서 이 녀석을 봐요.",0.5
칼을 휘둘러대는데 그래 무슨 지혜가 필요하다는거요?,칼 한번 휘두르는 데 무슨 재치가 필요하겠어?,0.5357142857142857
이 문제를 중재재판에 의뢰하자는데까지 승인하였다.,겨우 이 문제를 중재 재판에 일임하는 데 동의했다.,0.5
나는 겨우 열살이였으니까 그는 나보다 네살 맏이였다.,열 살밖에 안 된 나보다 네 살이 많았다.,0.6206896551724138
아뢰였다. 주여 제가 정녕 당신 눈에 드셨으면 부디 주께서 우리와 동행해주십시오. 이 백성이 고집이 센것은 사실입니다. 그러나 우리가 저지른 죄와 실수를 용서하시고 우리를 길이 당신의 것으로 삼아주십시오.,모세가 말했습니다. 주님 제가 주님께 은혜를 입었다면 저희와 함께 가 주십시오. 비록 이 백성은 고집이 센 백성이지만 저희의 잘못과 죄를 용서해 주십시오. 저희를 주님의 백성으로 삼아 주십시오.,0.631578947368421
그는 거기에서 브엘세바로 올라갔는데,이삭은 그 곳에서 브엘세바로 갔습니다.,0.5238095238095238
이 정원에는 하얀 실과 자주빛 털실로 짠 휘장이 처져있었다. 그 휘장은 흰 대리석 기둥에 달린 은고리에 모시실과 붉은 털실로 꼰 끈으로 매여져있었고 반암석과 흰 대리석과 조개껍질과 갖가지 보석들을 박아넣은 바닥에는 금은으로 만든 평상들이 마련되여 있었다.,뜰에는 하얀색과 자주색 휘장이 대리석 기둥의 은고리에 자줏빛 끈으로 묶여서 걸려 있었고 하얀 대리석과 조개와 보석이 깔린 바닥 위에는 금의자와 은의자가 놓여 있었습니다.,0.5985915492957746
마침내 당신을 찾아냈어요.,겨우 주인님을 찾아냈어요.,0.42857142857142855
설중매를 만나보았느냐?,설중매는 만나 보았느냐?,0.15384615384615385
나는 자주 그들의 집에서 그들과 같이 즐거운 저녁시간을 보냈다.,그리고 그녀들의 집에 초대를 받아 즐거운 저녁을 지낸 적도 여러 번 있었다.,0.6190476190476191
나에게는 큰 슬픔이 있습니다. 그리고 마음으로 끊임없이 번민하고있습니다.,내게는 큰 슬픔이 있고 내 마음속에는 고통이 쉴새없이 밀려옵니다.,0.575
땅까마귀떼들이 까맣게 몰려 앉아있었다. 그들의 소란한 울음소리가 아침의 정적을 깨뜨렸다.,땅까마귀가 까맣게 떼지어 있었고 그 소란한 울음 소리가 아침의 고요를 깨뜨렸다.,0.32653061224489793
그의 아버지도 기분이 좋았다.,그녀의 아버지는 친절했다.,0.5
공중인네 뜰뒤를 지나가려니까 험상궂은 웬 사나이가 당신과는 안면이 있을뿐더러 신세까지 진 일이 있다면서 내게 그걸 내주지 않겠어요.,"공증인 집 뜰 뒤를 지나오는데, 당신을 잘 알고 당신에게 은혜를 입기도 했다는 어떤 인상 나쁜 사람이 제게 이걸 내미는 거예요.",0.6438356164383562
거울앞에서 머리를 빗느라니 거기에 비친 나의 얼굴이 더는 밉게 보인다고 생각되지 않았다.,머리를 손질하며 거울 속에 비친 내 얼굴을 보고 이젠 못생겼다고는 생각지 않았다.,0.5102040816326531
아는이의 초상인가요?,그건 누구 아는 분의 초상화야?,0.6470588235294118
밀러선생은 나더러 문옆의 장의자를 가리켜 앉으라고 하고는 기다란 방의 한쪽구석으로 가서 큰소리로 웨쳤다.,밀러 선생님이 내게 문 옆의 긴 의자에 앉으라고 손짓을 하고는 긴 방의 안쪽 끝으로 걸어가서 큰 소리로 말했다.,0.46774193548387094
나는 입을 다물고있었다.,나는 잠자코 있었다.,0.46153846153846156
당신의 안해로 된다는것이 저에게는 이 세상에서 둘도 없는 큰 행복이니까요.,"당신의 아내가 된다는 것은, 나에게 있어서는 지상 최고의 무엇보다 더 나은 행복입니다.",0.5833333333333334
"쥴리앙씨, 난 지금의 이 직책에 부임하는 날 재판소 십자가앞에 서서 선서를 했기때문에 침묵을 지키고있어야 합니다.","쥘리앵 씨, 나는 이 직에 임명될 때 재판소의 십자가 앞에서 선서를 했기 때문에 그 말에 대해 대답할 수가 없읍니다.",0.5076923076923077
나도 이제는 아버님이 돌아가시고 자유로운 몸이 되였기때문에 모톤에는 오래 있지 않겠소.,"나는 이제 아버님도 작고하시고, 내 일은 내 마음대로 할 수 있게 되었으므로 모턴에는 오래 안 있을 작정입니다.",0.5967741935483871
