nk	ref_sk	hyp_sk	P(SK)	pred_label
쥴리앙이 책에서 얻은 지식과 베리에르의 추억을 자료로 해서 만들어낸 생각에 물두하여 사랑하는 사나이를 행복하게 할수만 있다면 제 한몸 같은것은 아무래도 좋다고 하는 마음씨 착한 련인을 자기나름의 상상으로 그리고있는동안 마틸드의 허영심은 쥴리앙에게 심한 노여움을 느끼고있었다.	이 생각에 이어서 쥘리앵은 책들과 베리에르의 추억이 심어 놓은 편견에 젖어서 몽상 속을 헤맸다. 연인과 행복한 사랑을 나누는 순간에는 자신의 존재조차 잊어버리고 마는 다정한 애인에 대한몽상이었다. 그런 동안 마틸드의 허영심은 쥘리앵에 대해 맹렬한 분노를 지피고 있었다.	쥘리앵이 자신의 지식과 베리에르에 대한 추억으로 만들어 낸 추억으로 사랑하는 사람을 행복하게 해줄 수 있다면, 쥘리앵이 마음씨 좋은 남자를 자신의 연인이라고 상상하고 있는 동안, 마틸드의 허영심은 쥘리앵에게 몹시 화를 내고 있었다.	0.9999999999997038	1
여호와께서 그령에게 어떻게 하여 그를 꾀여내겠느냐. 하고 물으시자 그는 제가거짓말하는 명이 되여 내려가서 아합의 모든 예언자들의 입에들어가겠습니다. 하고 대답하였습니다. 여호와께서 그렇게 피여내면 되겠군. 가서 그대로 하여라.	여호와께서 그에게 물으셨소. 어떻게 아합을 속이겠느냐? 그 천사가 대답했소. 아합의 예언자들에게 가서 거짓말을 하도록 시키겠습니다. 그러자 여호와께서 말씀하셨소. 좋다. 너는 그를 속일 수 있을 것이다. 가서 말한 대로 하여라.	여호와께서 그 영에게 물으셨습니다. 어떻게 그를 꾀어 낼 수 있겠느냐? 그 영이 대답했습니다. 제가 아합의 모든 예언자들과 이야기할 수 있도록 아합의 모든 예언자들과 이야기할 수 있게 하겠습니다. 여호와께서 그렇게 해 주시면 되겠습니다. 가서 그대로 하여라.	0.9999999999987405	1
소인국이나 대인국은 내가 믿는바에 의하면 지구표면의 륙지를 차지하고있기때문에 장차 내가 오래동안 항해를 하게 되면 소인국의 그 작은 벌판, 집, 나무, 난쟁이들, 조그마한 암소, 양, 새들또한 한나라의 숲만큼이나 높이 자란 보리밭, 거대하고도 사나운개, 괴물과 같은 고양이, 탑처럼 키가 큰 남녀 등을 내 눈으로 볼수 있으리라는것을 의심하지 않았다.	소인국이나 대인국은 내가 믿는 바로는 지구 표면에 있는 육지이고, 언젠가는 긴 여행을 해서 소인국의 작은 들이나 집, 수목이나 난장이들, 조그마한 소 양 새 따위, 또한 거인국의 숲과 같은 무시무시한 맹견, 괴물처럼 생긴 고양이, 탑처럼 생긴 남녀 등을 눈으로 볼 수 있게 될 것이라는 것을 의심하지 않았기 때문이었다.	소인국이라든가, 대인국이라든가는 내가 믿고 있는 대로 지구에 속해 있는 육지에 속해 있기 때문에 오래도록 항해를 하게 되면 소인국의 작은 들판과 집, 나무, 난쟁이들, 암소, 양, 새들이 사는 숲만큼이나 키가 큰 보리밭, 거대하고 사나운 개, 괴물 고양이, 탑 같은 키가 큰 남녀를 내 눈으로 볼 수 있으리라는 것을 의심하지 않았다.	0.9999999999985308	1
소인국이나 대인국은 내가 믿는바에 의하면 지구표면의 륙지를 차지하고있기때문에 장차 내가 오래동안 항해를 하게 되면 소인국의 그 작은 벌판, 집, 나무, 난쟁이들, 조그마한 암소, 양, 새들또한 한나라의 숲만큼이나 높이 자란 보리밭, 거대하고도 사나운개, 괴물과 같은 고양이, 탑처럼 키가 큰 남녀 등을 내 눈으로 볼수 있으리라는것을 의심하지 않았다.	이에 반해서 난쟁이 나라와 키다리 나라는 분명 지구 표면의 일부분이었고 어느 날엔가 긴 항해가 끝나면 나도 난쟁이 나라의 조그만 밭이나 집이나 숲이나 난쟁이나 역시 난쟁이인 소, 말, 양, 새들을 직접 보게 될 터이고 또 키다리 나라의 수풀만큼 커다란 밀밭이나 거대한 사냥개나 고양이, 그리고 탑처럼 우뚝한 남녀들을 보게 되리라는 것을 믿어 의심치 않았다.	소인국이라든가, 대인국이라든가는 내가 믿고 있는 대로 지구에 속해 있는 육지에 속해 있기 때문에 오래도록 항해를 하게 되면 소인국의 작은 들판과 집, 나무, 난쟁이들, 암소, 양, 새들이 사는 숲만큼이나 키가 큰 보리밭, 거대하고 사나운 개, 괴물 고양이, 탑 같은 키가 큰 남녀를 내 눈으로 볼 수 있으리라는 것을 의심하지 않았다.	0.9999999999985308	1
난로곁에서 날라다주는것이나 받아야 한다는것이다. 고뿌와 빠다를 바른 빵을 접시에 놓은 조그마한 상을 내앞에 가져왔다. 그전에 먹을것을 가지고 와서는 아이들 방에 있는 의자우에 놓고 나에게 권하던 그때와 꼭 같았다.	그리고 차 대접은 난롯가에서 받아야 한다고 이르고는, 옛날 몰래 집어온 맛있는 음식을 아이들 방 의자에 올려 놓고 나에게 먹여 주던 때와 꼭같이 찻잔과 토스트 빵의 접시를 얹은 둥글고 조그만 상을 놓았다.	난롯가에 있는 내 방으로 날라다 주어야 한다는 것과, 고기와 버터를 바른 빵이 들어 있는 접시의 작은 상자를 내 앞에 가져왔다. 그 상자는 전에 내가 먹을 것을 가지고 왔을 때 내 아이들 방의 의자 위에 놓았던 것과 똑같았다.	0.999999999998514	1
형제 여러분, 여러분이 모든것을 다 알았다고 장담할지 모르지만 아직 깨닫지 못하는 숨은 진리가 하나 있는데 여러분도 그것을 꼭 알아두시기 바랍니다. 그 진리란 이런것입니다. 일부 이스라엘사람들이 지금은 완고하지만 모든 이방사람들이 하느님께 돌아오는날에는 그 완고한 마음을 버릴것이고	형제 여러분, 나는 여러분이 스스로 똑똑하다고 생각하는 일이 없도록 하기 위해 이 비밀에 대해 알기를 원합니다. 비밀의 내용은 이렇습니다. 이방인의 충만한 수가 하나님께 돌아오기까지 이스라엘 중에 얼마는 완악한 채로 있게 된다는 사실입니다.	성도 여러분, 여러분이 모든 것을 다 알고 있다고 장담할 수는 있지만 아직 깨닫지 못한 비밀이 있다는 것을 여러분도 알아 두십시오. 그 비밀은 이런 것입니다. 이스라엘 백성이 지금은 완고하지만 모든 이방인들이 하나님께로 돌아온 날에는 그 완고한 마음을 버릴 것입니다.	0.99999999999849	1
잉그람양은 제법 알기나 하듯이 전문술어를 써가면서 이야기했는데 나는 곧 그 녀자가 부인을 속된 말로 말하면 놀려대고있다는것을 알았다.	잉그램 양은 식물학 공부를 한 모양이었고 식물학 용어를 잘난 체하며 주워섬겼다. 나는 즉시 그녀가 속된 말로 표현하면 덴트 부인을 놀리고 있다는 것을 알았다.	잉그램 양은 마치 알아들을 수 있는 것처럼 전문적인 용어를 쓰면서 얘기하고 있었다. 나는 그녀가 부인을 비속어적인 용어로 놀려 대고 있다는 것을 알았다.	0.9999999999981024	1
잉그람양은 제법 알기나 하듯이 전문술어를 써가면서 이야기했는데 나는 곧 그 녀자가 부인을 속된 말로 말하면 놀려대고있다는것을 알았다.	잉글램 양은 식물학을 배웠기 때문에 자신만만하게 전문 용어를 섞어가며 얘기를 하고 있었다. 한참 듣고 있는 동안 나는 그녀가 덴트 부인을 놀리고 있다는 것을 느꼈다.	잉그램 양은 마치 알아들을 수 있는 것처럼 전문적인 용어를 쓰면서 얘기하고 있었다. 나는 그녀가 부인을 비속어적인 용어로 놀려 대고 있다는 것을 알았다.	0.9999999999981024	1
잉그람양은 제법 알기나 하듯이 전문술어를 써가면서 이야기했는데 나는 곧 그 녀자가 부인을 속된 말로 말하면 놀려대고있다는것을 알았다.	그러나 잉그램 양은 공부를 한 적이 있는 듯하였고 자랑스러운 듯이 전문 용어를 주워섬겼다. 얼마 안 있어 나는 그녀가 덴트 부인을 속된 말로 하면 놀리고 있음을, 즉 부인의 무지를 비웃고 있는 것을 알았다.	잉그램 양은 마치 알아들을 수 있는 것처럼 전문적인 용어를 쓰면서 얘기하고 있었다. 나는 그녀가 부인을 비속어적인 용어로 놀려 대고 있다는 것을 알았다.	0.9999999999981024	1
나는 쓸쓸하다고 말하는바이다. 왜냐하면 나의 눈에 보이는 계곡의 오솔길에는 첫손에 꼽히는 부자인 올리버씨와 그의 딸이 살고있는 베일저택과 교회 그리고 나무에 반나마 가리운 목사관이 보일뿐이고 그외에는 그 어떤 건물도 보이지 않았기때문이다.	내가 지금 쓸쓸하다고 말하는 것은, 내가 있는 곳에서 보이는 골짜기가 구부러진 곳에는 교회와 목사관이 반쯤 나무에 가려져 있는 게 보이고, 그보다 더 먼 곳에 부유한 올리버 씨와 그의 딸이 살고 있는 메일 장이 보일 뿐, 그밖에는 건물 하나도 없었기 때문이다.	나는 쓸쓸하다고 말하고 있는 것이다. 왜냐하면 내 눈에 보이는 계곡의 오솔길에는 첫손에 꼽히는 부자인 올리버 씨와 그의 딸이 살고 있는 베일 저택과 교회 그리고 나무에 반쯤 가려진 목사관이 있을 뿐, 다른 어떤 건물도 보이지 않았기 때문이다.	0.9999999999978352	1
